6161 3
7.981300 5.412600 -0.317800 
7.979000 5.395800 -0.233200 
7.965000 5.357600 -0.373500 
7.964300 5.349000 -0.198100 
8.014500 5.345700 -0.368200 
8.021900 5.404400 -0.315000 
8.021500 5.412600 -0.272800 
8.017400 5.296900 -0.371100 
7.868900 5.335400 -0.196100 
7.869100 5.363400 -0.197900 
7.864300 5.446600 -0.278400 
7.868200 5.258400 -0.286500 
7.913800 5.254700 -0.283000 
7.915300 5.330300 -0.195800 
7.923500 5.357000 -0.197200 
7.933000 5.405900 -0.227900 
7.871000 5.370300 -0.385200 
7.865100 5.436800 -0.329900 
7.868900 5.416200 -0.228100 
7.874700 5.329800 -0.388200 
8.149800 5.375500 -0.221400 
8.145900 5.337000 -0.357200 
8.147900 5.296600 -0.360600 
8.142900 5.400600 -0.269700 
8.146100 5.253000 -0.276700 
8.146400 5.331500 -0.197300 
8.143300 5.388400 -0.315000 
8.149500 5.309000 -0.196600 
8.174500 5.371900 -0.220500 
8.168000 5.335800 -0.355100 
8.167700 5.296000 -0.356900 
8.168400 5.399400 -0.270700 
8.166100 5.245400 -0.274800 
8.167200 5.331700 -0.198500 
8.168000 5.387100 -0.316300 
8.167800 5.308100 -0.196800 
8.347600 5.232600 -0.270000 
8.296400 5.305300 -0.196900 
8.256200 5.370700 -0.307900 
8.304300 5.300300 -0.345000 
8.279700 5.334800 -0.345900 
8.252000 5.377000 -0.268600 
8.254200 5.366500 -0.228800 
8.275600 5.330700 -0.199300 
8.082500 5.250600 -0.239400 
7.893000 5.280800 -0.239300 
7.579500 5.237600 -0.232600 
7.731300 5.265800 -0.249200 
8.420200 5.320300 -0.232200 
8.417800 5.332200 -0.239500 
8.402300 5.272900 -0.221800 
8.262400 5.246500 -0.229800 
7.772100 5.268700 -0.239100 
7.944400 5.264900 -0.234300 
8.013900 5.254900 -0.234200 
8.186500 5.251100 -0.232000 
7.867600 5.279500 -0.236100 
7.916900 5.274300 -0.233700 
8.145000 5.263900 -0.233200 
8.166200 5.256600 -0.234000 
8.340200 5.245000 -0.227900 
8.167400 5.253100 -0.315100 
8.147800 5.258500 -0.316300 
7.915300 5.263700 -0.332300 
7.872000 5.267500 -0.335300 
8.333600 5.247000 -0.310700 
7.776500 5.267900 -0.342700 
8.402200 5.273300 -0.313000 
8.414700 5.333100 -0.299000 
7.734900 5.265900 -0.342900 
8.187000 5.247600 -0.315200 
7.949400 5.254600 -0.330700 
8.263500 5.245900 -0.314100 
8.017000 5.250100 -0.326500 
7.608900 5.261200 -0.379600 
7.894900 5.270900 -0.335600 
8.079600 5.248700 -0.320100 
8.420500 5.317400 -0.305600 
8.288900 5.355500 -0.266200 
8.415600 5.338900 -0.269300 
8.387100 5.336300 -0.224800 
8.385100 5.340300 -0.309800 
8.291100 5.353700 -0.293600 
8.349000 5.345300 -0.308600 
8.350200 5.339400 -0.222400 
8.296000 5.348600 -0.238400 
8.412300 5.335500 -0.248300 
8.410900 5.334600 -0.292700 
8.351400 5.348500 -0.266800 
8.388100 5.344900 -0.266600 
8.208800 5.292700 -0.352900 
8.207300 5.331200 -0.352500 
8.212900 5.235300 -0.273900 
8.212400 5.370200 -0.226300 
8.210000 5.379000 -0.310900 
8.213200 5.387700 -0.268300 
8.209400 5.311000 -0.196500 
8.210500 5.330500 -0.199300 
8.212800 5.247000 -0.231700 
8.212200 5.244100 -0.314100 
7.956900 5.353700 -0.420300 
7.964300 5.352900 -0.570700 
7.962900 5.394700 -0.542000 
7.958200 5.395700 -0.459300 
7.801900 5.423100 -0.456400 
7.806300 5.423000 -0.546700 
7.807900 5.377900 -0.585600 
7.803100 5.374600 -0.415900 
7.683200 5.368000 -0.412300 
7.676400 5.378600 -0.592700 
7.669700 5.444900 -0.543200 
7.613600 5.435600 -0.447600 
7.598400 5.464000 -0.552400 
7.571800 5.341900 -0.594300 
7.629400 5.360100 -0.415100 
7.672500 5.426700 -0.454800 
7.801200 5.341400 -0.415900 
7.956400 5.321000 -0.416700 
7.593300 5.303900 -0.598200 
7.681400 5.340000 -0.594800 
7.808300 5.338300 -0.594300 
7.966600 5.313500 -0.577800 
7.638600 5.324100 -0.409700 
7.688300 5.334500 -0.418000 
8.269600 5.347500 -0.424600 
8.197800 5.367100 -0.457400 
8.306100 5.329800 -0.423100 
8.270300 5.337400 -0.545300 
8.306400 5.328200 -0.543000 
8.339600 5.306100 -0.481000 
8.199900 5.361800 -0.524400 
8.189800 5.373700 -0.493100 
8.344800 5.327900 -0.481500 
8.199300 5.367000 -0.491000 
8.315600 5.340300 -0.434800 
8.311500 5.340900 -0.533400 
8.209900 5.359200 -0.519700 
8.283400 5.347500 -0.539900 
8.280500 5.351500 -0.430400 
7.959800 5.411400 -0.504900 
7.803700 5.437100 -0.506300 
7.612200 5.462700 -0.502200 
7.670900 5.448700 -0.497300 
8.208000 5.360800 -0.458000 
7.953800 5.254900 -0.501000 
7.789900 5.265100 -0.508700 
7.587800 5.247400 -0.509700 
7.671000 5.259700 -0.507000 
8.183000 5.371000 -0.457300 
8.237000 5.332200 -0.417700 
8.239000 5.331400 -0.553900 
8.188400 5.366000 -0.528300 
8.265700 5.310100 -0.554400 
8.263700 5.310200 -0.412600 
8.175300 5.379200 -0.494300 
8.303400 5.266100 -0.480800 
8.163800 5.242600 -0.491800 
8.134700 5.386500 -0.500100 
8.149500 5.303100 -0.410600 
8.156900 5.301900 -0.562600 
8.140800 5.371600 -0.534100 
8.152400 5.332200 -0.561700 
8.141300 5.331900 -0.414200 
8.131400 5.376300 -0.459500 
7.711700 5.381100 -0.586000 
7.707500 5.436700 -0.542600 
7.705500 5.423300 -0.456000 
7.711300 5.341500 -0.593800 
7.710900 5.341200 -0.416700 
7.712800 5.376200 -0.413400 
7.702900 5.443600 -0.500400 
7.695500 5.259700 -0.509100 
7.829100 5.435500 -0.508700 
7.826800 5.332300 -0.594600 
7.832800 5.421500 -0.547500 
7.831900 5.374200 -0.587400 
7.827200 5.263800 -0.508500 
7.853200 5.427200 -0.509500 
7.839500 5.336400 -0.415100 
7.849400 5.326400 -0.592700 
8.090100 5.381900 -0.455800 
8.089600 5.338300 -0.416800 
8.093300 5.337100 -0.565700 
8.095200 5.380600 -0.537000 
8.090800 5.300000 -0.566400 
8.087500 5.307700 -0.411700 
8.093300 5.393400 -0.502600 
8.073700 5.258200 -0.500600 
7.844900 5.260600 -0.506200 
7.861000 5.330000 -0.415900 
7.873600 5.409500 -0.463300 
7.865400 5.361200 -0.416000 
7.856700 5.413400 -0.544700 
7.848400 5.418700 -0.463000 
7.855800 5.368200 -0.584200 
7.841100 5.367700 -0.415500 
7.878700 5.360100 -0.581200 
7.881800 5.406300 -0.543900 
7.878500 5.420400 -0.509100 
7.867700 5.323300 -0.591000 
7.779800 5.344400 -0.415000 
7.779700 5.378400 -0.416400 
7.778700 5.438400 -0.503000 
7.771200 5.262500 -0.512300 
